frame,person_id,x1,y1,x2,y2,confidence,seg_file
0,1,812,134,869,283,0.8042524,
0,2,724,92,765,203,0.78210807,
0,3,769,88,806,189,0.758243,
0,4,798,88,834,191,0.58574766,
1,1,810,136,867,288,0.8098704,
1,2,724,93,765,204,0.78134173,
1,3,769,87,806,190,0.7715394,
1,4,802,88,834,182,0.54780126,
2,1,808,137,865,288,0.80589193,
2,2,724,93,765,205,0.7893122,
2,3,768,87,807,191,0.7676989,
2,4,803,88,834,178,0.568729,
3,1,808,138,866,290,0.800452,
3,2,724,94,766,206,0.77714705,
3,3,768,87,807,191,0.77868885,
3,4,802,88,834,179,0.6215715,
4,1,807,138,865,290,0.8059901,
4,2,724,94,766,206,0.7733044,
4,3,768,87,806,191,0.78233814,
4,4,802,88,835,182,0.67845744,
5,1,806,140,864,290,0.8118972,
5,2,725,94,766,207,0.7644253,
5,3,768,86,806,190,0.7614639,
5,4,802,88,834,182,0.6413366,
6,1,806,140,863,290,0.82076865,
6,2,726,94,767,207,0.7712444,
6,3,768,86,806,191,0.7575652,
6,4,800,88,834,187,0.6461097,
7,1,806,140,863,289,0.8130816,
7,2,727,94,768,207,0.78087384,
7,3,768,87,806,192,0.7315269,
7,4,798,89,834,191,0.60310173,
8,1,805,141,862,289,0.82277536,
8,2,727,94,768,207,0.7887163,
8,3,768,88,806,191,0.73437256,
8,4,797,88,834,195,0.6200249,
9,1,805,141,863,293,0.8300717,
9,2,728,95,769,207,0.7899752,
9,3,768,88,807,195,0.7412845,
9,4,798,88,834,195,0.5858225,
10,1,804,141,863,295,0.8286971,
10,2,730,95,771,208,0.797363,
10,3,768,88,806,193,0.73633444,
10,4,799,88,834,189,0.6561137,
11,1,804,141,863,296,0.8213772,
11,2,731,95,772,208,0.8089375,
11,3,769,88,806,192,0.73573077,
11,4,799,88,833,184,0.6062085,
12,1,803,141,864,299,0.82788223,
12,2,731,96,772,207,0.8086682,
12,3,769,88,806,193,0.72191244,
12,4,798,88,834,190,0.59107244,
13,1,802,141,863,300,0.8395618,
13,2,732,96,773,208,0.81037843,
13,3,770,89,807,193,0.7307953,
13,4,800,88,834,183,0.56220716,
14,1,802,142,863,301,0.8248375,
14,2,731,97,772,208,0.7977791,
14,3,771,90,807,193,0.710332,
14,4,801,88,832,176,0.47009587,
15,1,801,144,863,304,0.8200628,
15,2,731,96,772,209,0.7858381,
15,3,771,91,807,191,0.71041876,
15,4,802,89,832,171,0.39347914,
16,1,802,145,864,306,0.84155613,
16,2,730,96,772,211,0.7904565,
16,3,772,91,807,190,0.71634334,
16,4,805,88,832,160,0.40009767,
17,1,801,146,864,309,0.83247983,
17,2,730,96,772,212,0.7963305,
17,3,771,91,807,191,0.72574186,
17,4,805,87,831,156,0.42702955,
18,1,801,147,864,311,0.8334366,
18,2,730,96,772,213,0.7833948,
18,3,772,92,807,190,0.6793249,
18,4,805,89,833,162,0.34101722,
19,1,800,148,863,312,0.84136176,
19,2,730,96,772,213,0.78111064,
19,3,772,92,808,190,0.7115394,
19,4,808,92,834,158,0.3887617,
20,1,800,147,862,310,0.8460751,
20,2,729,97,772,215,0.78111535,
20,3,772,91,808,191,0.71707284,
20,4,809,92,834,155,0.37405053,
21,1,799,148,862,312,0.82799995,
21,2,730,97,772,215,0.7966807,
21,3,772,90,809,193,0.6967531,
21,4,807,92,835,162,0.41249374,
22,1,799,149,861,311,0.8263254,
22,2,730,97,773,216,0.80435294,
22,3,772,90,809,192,0.6238344,
22,4,807,92,836,167,0.34164688,
23,1,799,150,861,312,0.8205847,
23,2,730,97,773,215,0.7958985,
23,3,772,90,809,193,0.62762433,
23,4,804,92,835,171,0.4159784,
24,1,798,149,859,308,0.8192626,
24,2,730,97,772,216,0.7975264,
24,3,772,89,809,194,0.5958558,
24,4,795,92,833,184,0.49571797,
25,1,796,149,859,310,0.8385853,
25,2,729,97,772,217,0.7928231,
25,3,772,89,809,195,0.58053493,
25,4,792,91,833,190,0.4662265,
26,1,796,148,859,312,0.84913045,
26,2,729,97,772,217,0.7892459,
26,3,772,89,809,193,0.50741017,
26,4,790,92,832,190,0.4871328,
27,1,795,147,859,313,0.8460744,
27,2,728,97,771,216,0.8031009,
27,3,771,89,809,194,0.5827254,
27,4,790,91,832,191,0.4499102,
28,1,794,149,859,317,0.86234975,
28,2,728,97,771,216,0.8033618,
28,3,773,91,808,193,0.67381865,
28,4,798,89,836,178,0.5338029,
29,1,793,150,858,320,0.8544678,
29,2,728,97,770,216,0.80167,
29,3,772,92,808,193,0.7018837,
29,4,801,89,836,171,0.531267,
30,1,792,151,859,325,0.8604859,
30,2,727,97,769,216,0.80858845,
30,3,772,92,808,194,0.7458172,
30,4,805,86,838,165,0.6621302,
31,1,792,151,859,325,0.8522855,
31,2,727,96,769,216,0.8163721,
31,3,772,92,808,195,0.7382993,
31,4,803,88,838,170,0.53190315,
32,1,793,152,859,323,0.8558,
32,2,727,97,769,217,0.8166831,
32,3,771,92,808,195,0.7313465,
32,4,801,93,837,176,0.5013438,
33,1,794,153,859,323,0.85791975,
33,2,727,97,769,218,0.81726164,
33,3,771,92,807,195,0.7436704,
33,4,800,90,838,180,0.47245768,
34,1,795,152,860,322,0.8659638,
